Artifact dir: /workspace/autoresearch/results/20260919_013651-baseline/exp000-baseline
Rows: train=1,714,630 validation=90,244
Vocab size: 50,304
Tokenized in 123.8s | mean train length: 66.7 | truncated: 0.23%
Model config: {'sequence_len': 256, 'vocab_size': 50304, 'n_layer': 10, 'n_head': 10, 'n_embd': 640, 'dropout': 0.1}
Parameter counts:
  wte                     : 32,194,560
  head                    : 641
  transformer_matrices    : 49,152,000
  total                   : 81,347,201
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Steps per epoch: 6,697 | total steps: 26,788
step 07500 (28.0%) | loss: 0.243403 | lrm: 1.00 | dt: 221ms | epoch: 1 | elapsed: 1944s | remaining: 4999s
step 07550 (28.2%) | loss: 0.244754 | lrm: 1.00 | dt: 240ms | epoch: 1 | elapsed: 1956s | remaining: 4983s
step 07600 (28.4%) | loss: 0.243476 | lrm: 1.00 | dt: 277ms | epoch: 1 | elapsed: 1970s | remaining: 4973s
step 07650 (28.6%) | loss: 0.248232 | lrm: 1.00 | dt: 263ms | epoch: 1 | elapsed: 1983s | remaining: 4960s
step 07700 (28.7%) | loss: 0.247491 | lrm: 1.00 | dt: 258ms | epoch: 1 | elapsed: 1996s | remaining: 4947s
step 07750 (28.9%) | loss: 0.244761 | lrm: 1.00 | dt: 290ms | epoch: 1 | elapsed: 2010s | remaining: 4938s
step 07800 (29.1%) | loss: 0.248673 | lrm: 1.00 | dt: 247ms | epoch: 1 | elapsed: 2023s | remaining: 4923s
step 07850 (29.3%) | loss: 0.247307 | lrm: 1.00 | dt: 252ms | epoch: 1 | elapsed: 2035s | remaining: 4910s
step 07900 (29.5%) | loss: 0.249122 | lrm: 1.00 | dt: 271ms | epoch: 1 | elapsed: 2049s | remaining: 4898s
step 07950 (29.7%) | loss: 0.250914 | lrm: 1.00 | dt: 241ms | epoch: 1 | elapsed: 2061s | remaining: 4883s
step 08000 (29.9%) | loss: 0.251629 | lrm: 1.00 | dt: 303ms | epoch: 1 | elapsed: 2076s | remaining: 4875s
step 08050 (30.1%) | loss: 0.250678 | lrm: 1.00 | dt: 228ms | epoch: 1 | elapsed: 2088s | remaining: 4858s
step 08100 (30.2%) | loss: 0.248497 | lrm: 1.00 | dt: 252ms | epoch: 1 | elapsed: 2100s | remaining: 4845s
step 08150 (30.4%) | loss: 0.248339 | lrm: 1.00 | dt: 265ms | epoch: 1 | elapsed: 2113s | remaining: 4832s
step 08200 (30.6%) | loss: 0.244975 | lrm: 1.00 | dt: 245ms | epoch: 1 | elapsed: 2126s | remaining: 4818s
step 08250 (30.8%) | loss: 0.246974 | lrm: 1.00 | dt: 248ms | epoch: 1 | elapsed: 2138s | remaining: 4804s
step 08300 (31.0%) | loss: 0.245841 | lrm: 1.00 | dt: 263ms | epoch: 1 | elapsed: 2151s | remaining: 4791s
step 08350 (31.2%) | loss: 0.246876 | lrm: 1.00 | dt: 258ms | epoch: 1 | elapsed: 2164s | remaining: 4778s
step 08400 (31.4%) | loss: 0.238594 | lrm: 1.00 | dt: 239ms | epoch: 1 | elapsed: 2176s | remaining: 4763s
step 08450 (31.5%) | loss: 0.236865 | lrm: 1.00 | dt: 281ms | epoch: 1 | elapsed: 2190s | remaining: 4752s
step 08500 (31.7%) | loss: 0.240798 | lrm: 1.00 | dt: 267ms | epoch: 1 | elapsed: 2203s | remaining: 4740s
step 08550 (31.9%) | loss: 0.241472 | lrm: 1.00 | dt: 217ms | epoch: 1 | elapsed: 2214s | remaining: 4723s
